<!-- name,nVoxels,isFiltered,isAttenuated,isPhasedFiltered,execution_time -->
bunny_d=0.5_c=[256x256],2,1,0,0,0,0.03
bunny_d=0.5_c=[256x256],4,1,0,0,0,0.17
bunny_d=0.5_c=[256x256],8,1,0,0,0,1.64
bunny_d=0.5_c=[256x256],16,1,0,0,0,15.57
bunny_d=0.5_c=[256x256],32,1,0,0,0,84.92
bunny_d=0.5_c=[256x256],64,1,0,0,0,675.35
bunny_d=0.5_c=[256x256],64,0,0,0,0,690.78
bunny_d=0.5_c=[256x256],32,0,0,0,0,90.82
bunny_d=0.5_c=[256x256],16,0,0,0,0,10.39
bunny_d=0.5_c=[256x256],8,0,0,0,0,1.43
bunny_d=0.5_c=[256x256],4,0,0,0,0,0.20
bunny_d=0.5_c=[256x256],2,0,0,0,0,0.02
bunny_d=0.5_l=[1x1]_s=[256x256],2,1,0,0,0,0.06
bunny_d=0.5_l=[1x1]_s=[256x256],4,1,0,0,0,0.35
bunny_d=0.5_l=[1x1]_s=[256x256],8,1,0,0,0,1.97
bunny_d=0.5_l=[1x1]_s=[256x256],16,1,0,0,0,17.92
bunny_d=0.5_l=[1x1]_s=[256x256],32,1,0,0,0,110.92
bunny_d=0.5_l=[1x1]_s=[256x256],64,1,0,0,0,892.88
bunny_d=0.5_l=[1x1]_s=[256x256],2,0,0,0,0,0.03
bunny_d=0.5_l=[1x1]_s=[256x256],4,0,0,0,0,0.30
bunny_d=0.5_l=[1x1]_s=[256x256],8,0,0,0,0,1.88
bunny_d=0.5_l=[1x1]_s=[256x256],16,0,0,0,0,15.84
bunny_d=0.5_l=[1x1]_s=[256x256],32,0,0,0,0,109.22
bunny_d=0.5_l=[1x1]_s=[256x256],64,0,0,0,0,919.89
bunny_d=0.5_l=[16x16]_s=[16x16],2,1,0,0,0,0.04
bunny_d=0.5_l=[16x16]_s=[16x16],4,1,0,0,0,0.25
bunny_d=0.5_l=[16x16]_s=[16x16],8,1,0,0,0,1.47
bunny_d=0.5_l=[16x16]_s=[16x16],16,1,0,0,0,13.98
bunny_d=0.5_l=[16x16]_s=[16x16],32,1,0,0,0,104.06
bunny_d=0.5_l=[16x16]_s=[16x16],64,1,0,0,0,869.72
bunny_d=0.5_l=[16x16]_s=[16x16],2,0,0,0,0,0.03
bunny_d=0.5_l=[16x16]_s=[16x16],4,0,0,0,0,0.22
bunny_d=0.5_l=[16x16]_s=[16x16],8,0,0,0,0,1.86
bunny_d=0.5_l=[16x16]_s=[16x16],16,0,0,0,0,14.98
bunny_d=0.5_l=[16x16]_s=[16x16],32,0,0,0,0,113.62
bunny_d=0.5_l=[16x16]_s=[16x16],64,0,0,0,0,884.73
bunnybox_d=0.5_l=[16x16]_s=[16x16],2,1,0,0,0,0.06
bunnybox_d=0.5_l=[16x16]_s=[16x16],4,1,0,0,0,0.27
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,1,0,0,0,2.93
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,1,0,0,0,13.31
bunnybox_d=0.5_l=[16x16]_s=[16x16],32,1,0,0,0,111.25
bunnybox_d=0.5_l=[16x16]_s=[16x16],64,1,0,0,0,946.00
bunnybox_d=0.5_l=[16x16]_s=[16x16],2,0,0,0,0,0.03
bunnybox_d=0.5_l=[16x16]_s=[16x16],4,0,0,0,0,0.27
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,0,0,0,0,1.69
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,0,0,0,0,13.37
bunnybox_d=0.5_l=[16x16]_s=[16x16],32,0,0,0,0,106.90
bunnybox_d=0.5_l=[16x16]_s=[16x16],64,0,0,0,0,898.13
Z_d=0.5_l=[1x1]_s=[256x256],2,1,0,0,0,0.05
Z_d=0.5_l=[1x1]_s=[256x256],4,1,0,0,0,0.25
Z_d=0.5_l=[1x1]_s=[256x256],8,1,0,0,0,2.27
Z_d=0.5_l=[1x1]_s=[256x256],16,1,0,0,0,14.44
Z_d=0.5_l=[1x1]_s=[256x256],32,1,0,0,0,112.46
Z_d=0.5_l=[1x1]_s=[256x256],64,1,0,0,0,923.81
Z_d=0.5_l=[1x1]_s=[256x256],2,1,1,0,0,0.12
Z_d=0.5_l=[1x1]_s=[256x256],4,1,1,0,0,0.26
Z_d=0.5_l=[1x1]_s=[256x256],8,1,1,0,0,1.96
Z_d=0.5_l=[1x1]_s=[256x256],16,1,1,0,0,13.80
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,0,0,113.43
Z_d=0.5_l=[1x1]_s=[256x256],64,1,1,0,0,900.07
planes_d=0.5_l=[16x16]_s=[16x16],2,1,1,0,0,0.28
planes_d=0.5_l=[16x16]_s=[16x16],4,1,1,0,0,2.20
planes_d=0.5_l=[16x16]_s=[16x16],8,1,1,0,0,16.40
planes_d=0.5_l=[16x16]_s=[16x16],16,1,1,0,0,118.27
planes_d=0.5_l=[16x16]_s=[16x16],32,1,1,0,0,1003.61
planes_d=0.5_l=[16x16]_s=[16x16],64,1,1,0,0,6946.91
planes_d=0.5_l=[16x16]_s=[16x16],2,1,0,0,0,0.23
planes_d=0.5_l=[16x16]_s=[16x16],4,1,0,0,0,0.20
planes_d=0.5_l=[16x16]_s=[16x16],8,1,0,0,0,1.59
planes_d=0.5_l=[16x16]_s=[16x16],16,1,0,0,0,13.93
planes_d=0.5_l=[16x16]_s=[16x16],32,1,0,0,0,89.09
planes_d=0.5_l=[16x16]_s=[16x16],64,1,0,0,0,843.33
Z_d=0.5_l=[1x1]_s=[256x256],16,1,1,1,0,17.30
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,0,125.35
Z_d=0.5_l=[1x1]_s=[256x256],64,1,1,1,0,1142.55
bunny_d=0.5_c=[256x256],2,1,1,1,1,0.05
bunny_d=0.5_c=[256x256],2,1,1,1,0,0.07
bunny_d=0.5_c=[256x256],4,1,1,1,1,0.40
bunny_d=0.5_c=[256x256],4,1,1,1,0,0.45
bunny_d=0.5_c=[256x256],8,1,1,1,1,3.32
bunny_d=0.5_c=[256x256],8,1,1,1,0,3.34
bunny_d=0.5_c=[256x256],16,1,1,1,1,24.19
bunny_d=0.5_c=[256x256],16,1,1,1,0,23.53
bunny_d=0.5_c=[256x256],32,1,1,1,1,200.39
bunny_d=0.5_c=[256x256],32,1,1,1,0,254.76
bunny_d=0.5_c=[256x256],64,1,1,1,1,1796.45
bunny_d=0.5_c=[256x256],64,1,1,1,0,1713.30
bunny_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,1,3.80
bunny_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,0,0.55
bunny_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,1,1.61
bunny_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,0,1.78
bunny_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,1,13.81
bunny_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,0,13.89
bunny_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,1,135.59
bunny_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,0,132.29
bunny_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,1,1111.80
bunny_d=0.5_l=[1x1]_s=[256x256],2,1,1,1,1,0.56
bunny_d=0.5_l=[1x1]_s=[256x256],2,1,1,1,0,0.27
bunnybox_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,1,0.43
bunnybox_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,0,0.40
planes_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,1,0.34
planes_d=0.5_l=[16x16]_s=[16x16],2,1,1,1,0,0.35
bunny_d=0.5_l=[1x1]_s=[256x256],4,1,1,1,1,1.83
bunny_d=0.5_l=[1x1]_s=[256x256],4,1,1,1,0,0.51
bunnybox_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,1,2.10
bunnybox_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,0,2.03
planes_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,1,2.40
planes_d=0.5_l=[16x16]_s=[16x16],4,1,1,1,0,1.93
bunny_d=0.5_l=[1x1]_s=[256x256],8,1,1,1,1,2.24
bunny_d=0.5_l=[1x1]_s=[256x256],8,1,1,1,0,12.83
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,1,20.04
bunnybox_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,0,17.71
planes_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,1,18.07
planes_d=0.5_l=[16x16]_s=[16x16],8,1,1,1,0,20.05
bunny_d=0.5_l=[1x1]_s=[256x256],16,1,1,1,1,22.32
bunny_d=0.5_l=[1x1]_s=[256x256],16,1,1,1,0,17.85
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,1,182.86
bunnybox_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,0,138.46
planes_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,1,230.88
planes_d=0.5_l=[16x16]_s=[16x16],16,1,1,1,0,193.49
bunny_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,0,1286.80
bunny_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,1,158.21
bunny_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,0,157.48
bunnybox_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,1,1199.01
bunnybox_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,0,1080.29
planes_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,1,1156.20
planes_d=0.5_l=[16x16]_s=[16x16],32,1,1,1,0,1084.47
bunny_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,1,7767.75
bunny_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,0,7059.94
bunny_d=0.5_l=[1x1]_s=[256x256],64,1,1,1,1,989.50
bunny_d=0.5_l=[1x1]_s=[256x256],64,1,1,1,0,980.60
bunnybox_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,1,6435.12
bunnybox_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,0,6382.64
planes_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,1,6330.58
planes_d=0.5_l=[16x16]_s=[16x16],64,1,1,1,0,7884.04
Z_d=0.5_l=[1x1]_s=[256x256],64,1,1,1,1,1257.18
Z_d=0.5_l=[1x1]_s=[256x256],64,1,1,1,0,1149.57
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,1,135.45
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,0,135.80
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,0,126.62
Z_d=0.5_l=[1x1]_s=[256x256],32,1,1,1,1,149.39
